seq,llatitude,longitude,llatitude_utm,longitude_utm,option
140517,37.24057021,126.7733473,302493.6801,4123883.303,0
140520,37.24056567,126.7733441,302493.3841,4123882.807,0
140523,37.24056107,126.773341,302493.1017,4123882.302,0
140526,37.24055624,126.7733379,302492.8097,4123881.773,0
140529,37.24055089,126.7733344,302492.4879,4123881.187,0
140532,37.24054616,126.7733313,302492.2039,4123880.668,0
140535,37.2405412,126.7733281,302491.9066,4123880.125,0
140538,37.24053707,126.7733255,302491.6593,4123879.672,0
140541,37.24053225,126.7733223,302491.3662,4123879.144,0
140543,37.24052814,126.7733195,302491.1107,4123878.694,0
140546,37.24052336,126.7733163,302490.813,4123878.17,0
140549,37.24051849,126.773313,302490.5088,4123877.636,0
140552,37.24051361,126.7733098,302490.2048,4123877.102,0
140555,37.24050877,126.7733065,302489.9032,4123876.572,0
140558,37.24050449,126.7733036,302489.6368,4123876.103,0
140561,37.24049962,126.7733003,302489.3333,4123875.569,0
140564,37.24049471,126.773297,302489.0277,4123875.031,0
140567,37.24048983,126.7732938,302488.7236,4123874.496,0
140569,37.24048578,126.773291,302488.4719,4123874.053,0
140572,37.24048105,126.7732879,302488.1772,4123873.535,0
140575,37.24047609,126.7732845,302487.8677,4123872.991,0
140578,37.24047181,126.7732816,302487.6008,4123872.522,0
140581,37.24046692,126.7732784,302487.297,4123871.986,0
140584,37.24046202,126.7732751,302486.9927,4123871.45,0
140587,37.24045709,126.7732717,302486.6854,4123870.909,0
140590,37.24045215,126.7732684,302486.3768,4123870.369,0
140593,37.24044723,126.7732651,302486.0688,4123869.829,0
140596,37.24044229,126.7732618,302485.7611,4123869.289,0
140599,37.24043737,126.7732585,302485.4547,4123868.749,0
140602,37.24043245,126.7732551,302485.1482,4123868.21,0
140605,37.24042755,126.7732518,302484.8424,4123867.673,0
140608,37.24042254,126.7732485,302484.5303,4123867.124,0
140611,37.24041761,126.7732452,302484.2237,4123866.585,0
140614,37.24041265,126.7732418,302483.9154,4123866.041,0
140617,37.2404078,126.7732386,302483.615,4123865.51,0
140619,37.24040373,126.7732359,302483.3618,4123865.064,0
140621,37.24039893,126.7732326,302483.0626,4123864.538,0
140624,37.24039402,126.7732293,302482.756,4123864,0
140627,37.24038908,126.773226,302482.4468,4123863.459,0
140630,37.24038415,126.7732226,302482.1385,4123862.918,0
140633,37.24037858,126.7732189,302481.7928,4123862.309,0
140636,37.24037264,126.7732149,302481.4231,4123861.657,0
140639,37.24036837,126.7732121,302481.1577,4123861.19,0
140642,37.24036345,126.7732087,302480.852,4123860.651,0
140645,37.24035851,126.7732054,302480.5441,4123860.109,0
140648,37.24035356,126.7732021,302480.2359,4123859.567,0
140651,37.24034863,126.7731988,302479.9295,4123859.028,0
140654,37.24034367,126.7731955,302479.6216,4123858.483,0
140657,37.24033875,126.7731922,302479.3164,4123857.945,0
140660,37.24033384,126.7731889,302479.0112,4123857.407,0
140663,37.24032893,126.7731856,302478.7055,4123856.869,0
140666,37.24032399,126.7731823,302478.3983,4123856.327,0
140669,37.24031903,126.7731789,302478.0902,4123855.784,0
